alert_id,soc_id,timestamp,source,severity,alert_type,asset_id,event_ids,analyst_id,status,priority,created_at,closed_at
AL-00001,SOC-002,2026-08-01T01:09:09.398090Z,IDS,HIGH,Phishing Attempt,ASSET-02587,"[""EV-01600""]",AN-00030,CLOSED,4,2026-08-01T01:09:09.398090Z,2026-08-01T22:36:26.398090Z
AL-00002,SOC-001,2026-08-01T02:05:46.795540Z,CASE_MANAGEMENT,HIGH,Malware Detected,ASSET-00046,"[""EV-02740""]",AN-00011,CLOSED,4,2026-08-01T02:05:46.795540Z,2026-08-03T09:00:04.795540Z
AL-00003,SOC-001,2026-08-01T06:48:41.309459Z,EDR,HIGH,Brute Force,ASSET-00222,"[""EV-04792""]",AN-00003,CLOSED,4,2026-08-01T06:48:41.309459Z,2026-08-01T22:27:57.309459Z
AL-00004,SOC-002,2026-08-01T08:05:07.798410Z,FIREWALL,HIGH,Data Exfiltration Suspicion,ASSET-01036,"[""EV-08451""]",AN-00030,CLOSED,4,2026-08-01T08:05:07.798410Z,2026-08-01T09:45:46.418734Z
AL-00005,SOC-002,2026-08-01T12:59:14.076788Z,CASE_MANAGEMENT,HIGH,Data Exfiltration Suspicion,ASSET-02337,"[""EV-01578""]",AN-00023,CLOSED,4,2026-08-01T12:59:14.076788Z,2026-08-02T16:33:25.076788Z
AL-00006,SOC-002,2026-08-01T13:11:46.303479Z,SIEM,CRITICAL,Suspicious Login,ASSET-01897,"[""EV-06605""]",AN-00028,CLOSED,5,2026-08-01T13:11:46.303479Z,2026-08-02T17:42:00.303479Z
AL-00007,SOC-001,2026-08-01T17:18:53.000917Z,SIEM,HIGH,Phishing Attempt,ASSET-00660,"[""EV-05459""]",AN-00010,CLOSED,4,2026-08-01T17:18:53.000917Z,2026-08-02T00:39:49.000917Z
AL-00008,SOC-002,2026-08-01T18:03:57.986279Z,EDR,HIGH,Suspicious Login,ASSET-02566,"[""EV-01990""]",AN-00020,CLOSED,4,2026-08-01T18:03:57.986279Z,2026-08-02T04:09:13.986279Z
AL-00009,SOC-002,2026-08-01T21:24:40.586711Z,SIEM,HIGH,Port Scan,ASSET-01294,"[""EV-07782""]",AN-00023,CLOSED,4,2026-08-01T21:24:40.586711Z,2026-08-02T12:34:57.586711Z
AL-00010,SOC-002,2026-08-01T21:37:41.966009Z,IDS,HIGH,Brute Force,ASSET-01560,"[""EV-01964""]",AN-00024,CLOSED,4,2026-08-01T21:37:41.966009Z,2026-08-03T14:43:50.966009Z
AL-00011,SOC-001,2026-08-02T01:19:01.260112Z,EDR,HIGH,Ransomware Behaviour,ASSET-00362,"[""EV-08138""]",AN-00018,CLOSED,4,2026-08-02T01:19:01.260112Z,2026-08-04T11:04:20.260112Z
AL-00012,SOC-001,2026-08-02T03:38:03.544488Z,SIEM,HIGH,C2 Beacon,ASSET-00194,"[""EV-03161""]",AN-00010,CLOSED,4,2026-08-02T03:38:03.544488Z,2026-08-07T09:18:33.343473Z
AL-00013,SOC-002,2026-08-02T03:40:55.013081Z,EDR,HIGH,Brute Force,ASSET-01704,"[""EV-09524""]",AN-00036,CLOSED,4,2026-08-02T03:40:55.013081Z,2026-08-04T22:23:19.013081Z
AL-00014,SOC-002,2026-08-02T04:35:24.954716Z,SIEM,HIGH,Privilege Abuse,ASSET-02508,"[""EV-05693""]",AN-00032,CLOSED,4,2026-08-02T04:35:24.954716Z,2026-08-02T22:17:51.954716Z
AL-00015,SOC-002,2026-08-02T05:11:10.211864Z,SIEM,HIGH,Port Scan,ASSET-01742,"[""EV-06541""]",AN-00030,CLOSED,4,2026-08-02T05:11:10.211864Z,2026-08-02T22:58:25.211864Z
AL-00016,SOC-002,2026-08-02T07:24:59.825515Z,IDS,CRITICAL,Malware Detected,ASSET-01974,"[""EV-04592""]",AN-00024,CLOSED,5,2026-08-02T07:24:59.825515Z,2026-08-05T19:14:28.825515Z
AL-00017,SOC-001,2026-08-02T08:39:49.263137Z,SIEM,CRITICAL,Ransomware Behaviour,ASSET-00797,"[""EV-03377""]",AN-00008,CLOSED,5,2026-08-02T08:39:49.263137Z,2026-08-04T12:21:14.263137Z
AL-00018,SOC-001,2026-08-02T10:45:20.828805Z,CASE_MANAGEMENT,HIGH,Privilege Abuse,ASSET-00477,"[""EV-02461""]",AN-00007,CLOSED,4,2026-08-02T10:45:20.828805Z,2026-08-05T06:06:55.828805Z
AL-00019,SOC-001,2026-08-02T13:22:00.509179Z,FIREWALL,HIGH,C2 Beacon,ASSET-00225,"[""EV-06632""]",AN-00006,CLOSED,4,2026-08-02T13:22:00.509179Z,2026-08-05T02:18:07.509179Z
AL-00020,SOC-001,2026-08-02T14:28:19.370062Z,SIEM,HIGH,Malware Detected,ASSET-00502,"[""EV-05922""]",AN-00001,CLOSED,4,2026-08-02T14:28:19.370062Z,2026-08-10T01:46:31.839695Z
AL-00021,SOC-001,2026-08-02T18:25:38.745849Z,CASE_MANAGEMENT,HIGH,Brute Force,ASSET-00759,"[""EV-09179""]",AN-00011,CLOSED,4,2026-08-02T18:25:38.745849Z,2026-08-03T13:00:30.745849Z
