action_id,analyst_id,soc_id,incident_id,action_type,timestamp,duration_seconds,metadata
ACT-00001,AN-00007,SOC-001,INC-00001,TRIAGE,2026-08-09T20:27:36.242896Z,731,{}
ACT-00002,AN-00007,SOC-001,INC-00001,INVESTIGATION_START,2026-08-09T21:47:33.987379Z,644,{}
ACT-00003,AN-00007,SOC-001,INC-00001,RESPONSE,2026-08-09T21:54:39.692014Z,625,{}
ACT-00004,AN-00007,SOC-001,INC-00001,CLOSURE,2026-08-09T22:19:16.325946Z,210,{}
ACT-00005,AN-00037,SOC-002,INC-00002,TRIAGE,2026-08-07T07:21:27.576085Z,150,{}
ACT-00006,AN-00037,SOC-002,INC-00002,INVESTIGATION_START,2026-08-07T08:40:37.185651Z,192,{}
ACT-00007,AN-00037,SOC-002,INC-00002,ESCALATION,2026-08-07T08:50:04.901789Z,37,{}
ACT-00008,AN-00037,SOC-002,INC-00002,RESPONSE,2026-08-07T08:57:50.455888Z,550,{}
ACT-00009,AN-00037,SOC-002,INC-00002,CLOSURE,2026-08-07T09:18:33.343473Z,847,{}
ACT-00010,AN-00033,SOC-002,INC-00003,TRIAGE,2026-08-06T12:05:33.073550Z,753,{}
ACT-00014,AN-00033,SOC-002,INC-00003,CLOSURE,2026-08-06T14:25:53.373287Z,548,{}
ACT-00015,AN-00007,SOC-001,INC-00004,TRIAGE,2026-08-09T01:34:55.261120Z,736,{}
ACT-00016,AN-00007,SOC-001,INC-00004,INVESTIGATION_START,2026-08-09T01:54:34.595246Z,496,{}
ACT-00017,AN-00007,SOC-001,INC-00004,RESPONSE,2026-08-09T02:14:00.917802Z,237,{}
ACT-00018,AN-00007,SOC-001,INC-00004,CLOSURE,2026-08-09T02:18:16.216305Z,611,{}
ACT-00019,AN-00028,SOC-002,INC-00005,TRIAGE,2026-08-09T09:48:57.966814Z,438,{}
ACT-00020,AN-00028,SOC-002,INC-00005,INVESTIGATION_START,2026-08-09T11:01:58.071188Z,655,{}
ACT-00021,AN-00028,SOC-002,INC-00005,ESCALATION,2026-08-09T11:12:34.697896Z,582,{}
ACT-00022,AN-00028,SOC-002,INC-00005,RESPONSE,2026-08-09T11:16:19.740993Z,418,{}
ACT-00023,AN-00028,SOC-002,INC-00005,CLOSURE,2026-08-09T11:35:15.770560Z,754,{}
ACT-00024,AN-00013,SOC-001,INC-00006,TRIAGE,2026-08-09T12:24:01.364792Z,564,{}
ACT-00025,AN-00013,SOC-001,INC-00006,INVESTIGATION_START,2026-08-09T12:51:24.486912Z,56,{}
ACT-00026,AN-00013,SOC-001,INC-00006,RESPONSE,2026-08-09T13:11:39.758660Z,838,{}
ACT-00027,AN-00013,SOC-001,INC-00006,CLOSURE,2026-08-09T13:54:19.046083Z,233,{}
ACT-00028,AN-00024,SOC-002,INC-00007,TRIAGE,2026-08-01T08:05:25.798410Z,388,{}
ACT-00029,AN-00024,SOC-002,INC-00007,INVESTIGATION_START,2026-08-01T09:09:38.558101Z,334,{}
ACT-00030,AN-00024,SOC-002,INC-00007,RESPONSE,2026-08-01T09:31:12.620450Z,782,{}
ACT-00031,AN-00024,SOC-002,INC-00007,CLOSURE,2026-08-01T09:45:46.418734Z,333,{}
ACT-00032,AN-00002,SOC-001,INC-00008,TRIAGE,2026-08-04T01:06:41.562669Z,722,{}
ACT-00033,AN-00002,SOC-001,INC-00008,INVESTIGATION_START,2026-08-04T02:03:17.201183Z,784,{}
ACT-00034,AN-00002,SOC-001,INC-00008,RESPONSE,2026-08-04T02:31:45.469828Z,474,{}
ACT-00035,AN-00002,SOC-001,INC-00008,CLOSURE,2026-08-04T02:51:54.253790Z,39,{}
ACT-00036,AN-00033,SOC-002,INC-00009,TRIAGE,2026-08-13T21:36:48.951792Z,723,{}
ACT-00040,AN-00033,SOC-002,INC-00009,CLOSURE,2026-08-14T00:11:36.861719Z,759,{}
ACT-00041,AN-00021,SOC-002,INC-00010,TRIAGE,2026-08-14T06:44:37.900566Z,463,{}
ACT-00042,AN-00021,SOC-002,INC-00010,INVESTIGATION_START,2026-08-14T07:32:08.616277Z,26,{}
ACT-00043,AN-00021,SOC-002,INC-00010,RESPONSE,2026-08-14T07:50:13.199468Z,493,{}
ACT-00044,AN-00021,SOC-002,INC-00010,CLOSURE,2026-08-14T08:58:26.199468Z,439,{}
ACT-00045,AN-00021,SOC-002,INC-00011,TRIAGE,2026-08-14T14:32:18.528196Z,707,{}
ACT-00046,AN-00021,SOC-002,INC-00011,INVESTIGATION_START,2026-08-14T15:24:22.054859Z,763,{}
ACT-00047,AN-00021,SOC-002,INC-00011,RESPONSE,2026-08-14T15:32:40.176005Z,424,{}
