asset_id,soc_id,hostname,asset_type,ip_address,criticality,business_unit,owner,status
ASSET-00001,SOC-001,cloud-instance-0000,CLOUD_INSTANCE,242.107.71.118,CRITICAL,Research,owner-32@corp.internal,ACTIVE
ASSET-00002,SOC-001,server-0001,SERVER,250.93.49.0,LOW,Engineering,owner-9@corp.internal,ACTIVE
ASSET-00003,SOC-001,iot-0002,IOT,121.172.27.30,LOW,Engineering,owner-17@corp.internal,ACTIVE
ASSET-00004,SOC-001,cloud-instance-0003,CLOUD_INSTANCE,223.87.197.154,MEDIUM,Engineering,owner-35@corp.internal,ACTIVE
ASSET-00005,SOC-001,iot-0004,IOT,176.155.42.92,HIGH,HR,owner-26@corp.internal,ACTIVE
ASSET-00006,SOC-001,iot-0005,IOT,166.94.104.142,MEDIUM,Sales,owner-29@corp.internal,ACTIVE
ASSET-00007,SOC-001,server-0006,SERVER,63.118.190.29,HIGH,HR,owner-2@corp.internal,ACTIVE
ASSET-00008,SOC-001,cloud-instance-0007,CLOUD_INSTANCE,141.205.205.3,HIGH,Engineering,owner-1@corp.internal,ACTIVE
ASSET-00009,SOC-001,server-0008,SERVER,181.53.16.110,MEDIUM,Engineering,owner-5@corp.internal,ACTIVE
ASSET-00010,SOC-001,server-0009,SERVER,220.17.16.193,MEDIUM,Sales,owner-16@corp.internal,ACTIVE
ASSET-00011,SOC-001,database-0010,DATABASE,171.66.32.167,MEDIUM,Sales,owner-9@corp.internal,ACTIVE
ASSET-00012,SOC-001,iot-0011,IOT,239.125.220.118,LOW,Sales,owner-31@corp.internal,ACTIVE
ASSET-00013,SOC-001,workstation-0012,WORKSTATION,200.220.209.159,MEDIUM,Operations,owner-13@corp.internal,ACTIVE
ASSET-00014,SOC-001,server-0013,SERVER,24.208.117.43,MEDIUM,HR,owner-28@corp.internal,ACTIVE
ASSET-00015,SOC-001,network-device-0014,NETWORK_DEVICE,119.142.237.179,LOW,Finance,owner-7@corp.internal,ACTIVE
ASSET-00016,SOC-001,server-0015,SERVER,103.18.48.58,LOW,Finance,owner-16@corp.internal,ACTIVE
ASSET-00017,SOC-001,workstation-0016,WORKSTATION,48.177.135.239,MEDIUM,Engineering,owner-28@corp.internal,ACTIVE
ASSET-00018,SOC-001,workstation-0017,WORKSTATION,71.78.188.25,MEDIUM,Finance,owner-29@corp.internal,ACTIVE
ASSET-00019,SOC-001,cloud-instance-0018,CLOUD_INSTANCE,25.16.139.229,CRITICAL,Sales,owner-1@corp.internal,ACTIVE
ASSET-00020,SOC-001,server-0019,SERVER,237.38.98.233,LOW,Engineering,owner-11@corp.internal,ACTIVE
ASSET-00021,SOC-001,network-device-0020,NETWORK_DEVICE,124.82.250.23,MEDIUM,Operations,owner-4@corp.internal,ACTIVE
ASSET-00022,SOC-001,workstation-0021,WORKSTATION,97.4.97.227,CRITICAL,Operations,owner-17@corp.internal,ACTIVE
ASSET-00023,SOC-001,network-device-0022,NETWORK_DEVICE,73.6.23.242,MEDIUM,Research,owner-36@corp.internal,ACTIVE
ASSET-00024,SOC-001,iot-0023,IOT,183.233.154.202,MEDIUM,Engineering,owner-19@corp.internal,ACTIVE
ASSET-00025,SOC-001,workstation-0024,WORKSTATION,247.253.86.70,CRITICAL,Research,owner-35@corp.internal,ACTIVE
ASSET-00026,SOC-001,server-0025,SERVER,191.123.83.155,MEDIUM,Finance,owner-38@corp.internal,ACTIVE
ASSET-00027,SOC-001,network-device-0026,NETWORK_DEVICE,128.186.205.100,LOW,Sales,owner-11@corp.internal,ACTIVE
ASSET-00028,SOC-001,server-0027,SERVER,245.245.155.34,MEDIUM,Engineering,owner-5@corp.internal,ACTIVE
