device_id,soc_id,hostname,device_type,ip_address,os,criticality,status
DEV-00001,SOC-001,SOC-001-case_management-00,CASE_MANAGEMENT,192.57.135.16,Ubuntu 22.04,MEDIUM,ONLINE
DEV-00002,SOC-001,SOC-001-ids-01,IDS,28.142.174.233,Windows Server 2022,MEDIUM,ONLINE
DEV-00003,SOC-001,SOC-001-firewall-02,FIREWALL,40.125.6.202,RHEL 9,LOW,ONLINE
DEV-00004,SOC-001,SOC-001-siem-03,SIEM,244.45.71.204,Windows 11,MEDIUM,ONLINE
DEV-00005,SOC-001,SOC-001-case_management-04,CASE_MANAGEMENT,195.15.244.110,Debian 12,HIGH,ONLINE
DEV-00006,SOC-001,SOC-001-case_management-05,CASE_MANAGEMENT,233.161.250.111,macOS 14,CRITICAL,ONLINE
DEV-00007,SOC-001,SOC-001-ids-06,IDS,215.119.164.119,Ubuntu 22.04,HIGH,ONLINE
DEV-00008,SOC-001,SOC-001-edr-07,EDR,95.184.209.108,Windows Server 2022,HIGH,ONLINE
DEV-00009,SOC-001,SOC-001-case_management-08,CASE_MANAGEMENT,244.24.143.63,RHEL 9,CRITICAL,ONLINE
DEV-00010,SOC-001,SOC-001-case_management-09,CASE_MANAGEMENT,82.251.228.59,Windows 11,LOW,ONLINE
DEV-00011,SOC-001,SOC-001-siem-10,SIEM,28.163.92.251,Debian 12,MEDIUM,ONLINE
DEV-00012,SOC-001,SOC-001-ids-11,IDS,61.76.191.55,macOS 14,CRITICAL,ONLINE
DEV-00013,SOC-002,SOC-002-edr-00,EDR,165.66.222.185,Ubuntu 22.04,CRITICAL,ONLINE
DEV-00014,SOC-002,SOC-002-ids-01,IDS,219.212.168.109,Windows Server 2022,HIGH,ONLINE
DEV-00015,SOC-002,SOC-002-case_management-02,CASE_MANAGEMENT,50.73.92.255,RHEL 9,MEDIUM,ONLINE
DEV-00016,SOC-002,SOC-002-siem-03,SIEM,186.56.140.143,Windows 11,CRITICAL,ONLINE
DEV-00017,SOC-002,SOC-002-siem-04,SIEM,217.126.141.60,Debian 12,CRITICAL,ONLINE
DEV-00018,SOC-002,SOC-002-case_management-05,CASE_MANAGEMENT,148.50.215.151,macOS 14,LOW,ONLINE
DEV-00019,SOC-002,SOC-002-case_management-06,CASE_MANAGEMENT,54.119.123.228,Ubuntu 22.04,CRITICAL,ONLINE
DEV-00020,SOC-002,SOC-002-case_management-07,CASE_MANAGEMENT,66.183.192.72,Windows Server 2022,LOW,ONLINE
DEV-00021,SOC-002,SOC-002-edr-08,EDR,93.166.74.58,RHEL 9,LOW,ONLINE
DEV-00022,SOC-002,SOC-002-edr-09,EDR,228.53.64.33,Windows 11,MEDIUM,ONLINE
DEV-00023,SOC-002,SOC-002-edr-10,EDR,118.246.167.120,Debian 12,CRITICAL,ONLINE
DEV-00024,SOC-002,SOC-002-firewall-11,FIREWALL,93.38.75.27,macOS 14,CRITICAL,ONLINE
