event_id,soc_id,timestamp,event_type,source,asset_id,device_id,analyst_id,severity,description,metadata
EV-03779,SOC-002,2026-08-01T00:04:47.512800Z,file_write,EDR,ASSET-01423,DEV-00021,,LOW,file_write observed on iot-0429,"{""src_ip"": ""10.92.248.79""}"
EV-01279,SOC-002,2026-08-01T00:04:58.433093Z,dns_query,CASE_MANAGEMENT,ASSET-01075,DEV-00015,,LOW,dns_query observed on database-0081,"{""src_ip"": ""10.26.184.111""}"
EV-06297,SOC-001,2026-08-01T00:05:48.513492Z,process_create,SIEM,ASSET-00112,DEV-00011,,LOW,process_create observed on database-0111,"{""src_ip"": ""10.22.127.39""}"
EV-00132,SOC-002,2026-08-01T00:14:32.881597Z,privilege_escalation,EDR,ASSET-01269,DEV-00022,,MEDIUM,privilege_escalation observed on cloud-instance-0275,"{""src_ip"": ""10.240.131.33""}"
EV-04834,SOC-001,2026-08-01T00:14:35.844830Z,network_connection,IDS,ASSET-00862,DEV-00012,,MEDIUM,network_connection observed on iot-0861,"{""src_ip"": ""10.119.238.164""}"
EV-07431,SOC-001,2026-08-01T00:15:17.537954Z,dns_query,CASE_MANAGEMENT,ASSET-00756,DEV-00006,,INFO,dns_query observed on network-device-0755,"{""src_ip"": ""10.216.51.193""}"
EV-02134,SOC-002,2026-08-01T00:15:38.491898Z,port_scan,EDR,ASSET-01263,DEV-00013,,HIGH,port_scan observed on workstation-0269,"{""src_ip"": ""10.37.160.11""}"
EV-00024,SOC-002,2026-08-01T00:16:59.946169Z,process_create,CASE_MANAGEMENT,ASSET-01933,DEV-00019,,INFO,process_create observed on workstation-0939,"{""src_ip"": ""10.102.88.78""}"
EV-07929,SOC-001,2026-08-01T00:17:23.952873Z,privilege_escalation,CASE_MANAGEMENT,ASSET-00616,DEV-00001,,LOW,privilege_escalation observed on database-0615,"{""src_ip"": ""10.33.236.46""}"
EV-09904,SOC-001,2026-08-01T00:19:55.268448Z,network_connection,CASE_MANAGEMENT,ASSET-00975,DEV-00009,,LOW,network_connection observed on database-0974,"{""src_ip"": ""10.97.116.231""}"
EV-09006,SOC-001,2026-08-01T00:23:40.875836Z,process_create,IDS,ASSET-00951,DEV-00007,,LOW,process_create observed on workstation-0950,"{""src_ip"": ""10.2.171.25""}"
EV-02326,SOC-002,2026-08-01T00:23:40.891228Z,usb_insert,FIREWALL,ASSET-00999,DEV-00024,,INFO,usb_insert observed on cloud-instance-0005,"{""src_ip"": ""10.204.248.224""}"
EV-04621,SOC-001,2026-08-01T00:24:24.434396Z,port_scan,CASE_MANAGEMENT,ASSET-00464,DEV-00006,,LOW,port_scan observed on iot-0463,"{""src_ip"": ""10.52.222.29""}"
EV-02537,SOC-002,2026-08-01T00:25:35.539388Z,network_connection,FIREWALL,ASSET-02457,DEV-00024,,MEDIUM,network_connection observed on server-1463,"{""src_ip"": ""10.160.161.192""}"
EV-06054,SOC-001,2026-08-01T00:25:42.790775Z,port_scan,CASE_MANAGEMENT,ASSET-00216,DEV-00005,,HIGH,port_scan observed on cloud-instance-0215,"{""src_ip"": ""10.239.88.18""}"
EV-08832,SOC-002,2026-08-01T00:27:52.352520Z,usb_insert,CASE_MANAGEMENT,ASSET-02684,DEV-00015,,INFO,usb_insert observed on iot-1690,"{""src_ip"": ""10.58.229.207""}"
EV-02251,SOC-002,2026-08-01T00:28:55.756304Z,dns_query,SIEM,ASSET-01012,DEV-00016,,INFO,dns_query observed on server-0018,"{""src_ip"": ""10.142.129.17""}"
EV-04237,SOC-002,2026-08-01T00:28:57.151844Z,dns_query,EDR,ASSET-01863,DEV-00022,,MEDIUM,dns_query observed on cloud-instance-0869,"{""src_ip"": ""10.56.65.200""}"
EV-03458,SOC-001,2026-08-01T00:30:24.565516Z,usb_insert,CASE_MANAGEMENT,ASSET-00328,DEV-00009,,INFO,usb_insert observed on server-0327,"{""src_ip"": ""10.215.249.153""}"
EV-05678,SOC-001,2026-08-01T00:33:09.201420Z,privilege_escalation,CASE_MANAGEMENT,ASSET-00517,DEV-00009,,MEDIUM,privilege_escalation observed on workstation-0516,"{""src_ip"": ""10.37.126.215""}"
EV-00310,SOC-001,2026-08-01T00:39:17.011519Z,auth_success,IDS,ASSET-00241,DEV-00012,,LOW,auth_success observed on server-0240,"{""src_ip"": ""10.222.250.203""}"
EV-06963,SOC-002,2026-08-01T00:39:50.858714Z,privilege_escalation,EDR,ASSET-01897,DEV-00022,,INFO,privilege_escalation observed on server-0903,"{""src_ip"": ""10.75.60.240""}"
EV-01324,SOC-002,2026-08-01T00:40:09.231688Z,file_write,EDR,ASSET-02672,DEV-00021,,LOW,file_write observed on network-device-1678,"{""src_ip"": ""10.83.139.60""}"
EV-07351,SOC-001,2026-08-01T00:43:41.654929Z,auth_success,IDS,ASSET-00846,DEV-00012,,LOW,auth_success observed on server-0845,"{""src_ip"": ""10.49.174.1""}"
EV-07133,SOC-001,2026-08-01T00:43:59.814552Z,network_connection,SIEM,ASSET-00426,DEV-00004,,MEDIUM,network_connection observed on workstation-0425,"{""src_ip"": ""10.27.254.130""}"
EV-01474,SOC-001,2026-08-01T00:50:09.292630Z,port_scan,EDR,ASSET-00102,DEV-00008,,INFO,port_scan observed on server-0101,"{""src_ip"": ""10.93.109.169""}"
EV-03496,SOC-001,2026-08-01T00:50:51.050643Z,port_scan,IDS,ASSET-00485,DEV-00002,,LOW,port_scan observed on iot-0484,"{""src_ip"": ""10.98.18.213""}"
EV-05049,SOC-001,2026-08-01T00:52:01.304439Z,dns_query,CASE_MANAGEMENT,ASSET-00679,DEV-00001,,LOW,dns_query observed on network-device-0678,"{""src_ip"": ""10.63.24.131""}"
EV-06597,SOC-001,2026-08-01T00:52:31.253119Z,usb_insert,SIEM,ASSET-00225,DEV-00011,,LOW,usb_insert observed on server-0224,"{""src_ip"": ""10.95.230.197""}"
EV-04223,SOC-001,2026-08-01T00:52:35.123494Z,process_create,CASE_MANAGEMENT,ASSET-00593,DEV-00009,,INFO,process_create observed on network-device-0592,"{""src_ip"": ""10.232.68.159""}"
EV-03282,SOC-002,2026-08-01T00:53:38.197289Z,dns_query,IDS,ASSET-01620,DEV-00014,,INFO,dns_query observed on network-device-0626,"{""src_ip"": ""10.232.193.39""}"
EV-02955,SOC-002,2026-08-01T00:55:17.879311Z,auth_success,EDR,ASSET-02113,DEV-00013,,INFO,auth_success observed on cloud-instance-1119,"{""src_ip"": ""10.247.102.100""}"
EV-01392,SOC-002,2026-08-01T00:55:57.885202Z,network_connection,EDR,ASSET-02433,DEV-00022,,LOW,network_connection observed on workstation-1439,"{""src_ip"": ""10.6.70.192""}"
EV-00861,SOC-001,2026-08-01T00:58:10.710208Z,auth_success,CASE_MANAGEMENT,ASSET-00417,DEV-00005,,LOW,auth_success observed on network-device-0416,"{""src_ip"": ""10.176.118.240""}"
EV-05434,SOC-001,2026-08-01T00:58:44.953539Z,email_gateway_hit,CASE_MANAGEMENT,ASSET-00725,DEV-00001,,LOW,email_gateway_hit observed on network-device-0724,"{""src_ip"": ""10.13.220.72""}"
EV-04953,SOC-001,2026-08-01T01:00:57.092862Z,file_write,CASE_MANAGEMENT,ASSET-00709,DEV-00006,,MEDIUM,file_write observed on workstation-0708,"{""src_ip"": ""10.161.189.248""}"
EV-09096,SOC-002,2026-08-01T01:01:28.905111Z,email_gateway_hit,CASE_MANAGEMENT,ASSET-01566,DEV-00020,,HIGH,email_gateway_hit observed on network-device-0572,"{""src_ip"": ""10.80.123.227""}"
EV-00442,SOC-001,2026-08-01T01:07:05.813352Z,network_connection,IDS,ASSET-00895,DEV-00002,,HIGH,network_connection observed on cloud-instance-0894,"{""src_ip"": ""10.33.138.248""}"
EV-09483,SOC-002,2026-08-01T01:07:18.450036Z,privilege_escalation,SIEM,ASSET-02685,DEV-00016,,LOW,privilege_escalation observed on workstation-1691,"{""src_ip"": ""10.8.194.163""}"
EV-05199,SOC-001,2026-08-01T01:07:27.038136Z,network_connection,IDS,ASSET-00847,DEV-00002,,MEDIUM,network_connection observed on network-device-0846,"{""src_ip"": ""10.112.111.3""}"
EV-00221,SOC-001,2026-08-01T01:08:57.984960Z,auth_success,SIEM,ASSET-00701,DEV-00004,,INFO,auth_success observed on server-0700,"{""src_ip"": ""10.198.61.220""}"
EV-01600,SOC-002,2026-08-01T01:09:09.398090Z,port_scan,IDS,ASSET-02587,DEV-00014,,HIGH,port_scan observed on database-1593,"{""src_ip"": ""10.209.30.173""}"
EV-02772,SOC-001,2026-08-01T01:10:19.286487Z,usb_insert,CASE_MANAGEMENT,ASSET-00604,DEV-00005,,MEDIUM,usb_insert observed on cloud-instance-0603,"{""src_ip"": ""10.34.239.13""}"
EV-08089,SOC-002,2026-08-01T01:10:21.225002Z,privilege_escalation,EDR,ASSET-02322,DEV-00023,,INFO,privilege_escalation observed on workstation-1328,"{""src_ip"": ""10.19.252.126""}"
EV-04540,SOC-001,2026-08-01T01:11:07.678551Z,file_write,CASE_MANAGEMENT,ASSET-00131,DEV-00001,,INFO,file_write observed on iot-0130,"{""src_ip"": ""10.207.21.118""}"
EV-01911,SOC-001,2026-08-01T01:12:45.319775Z,process_create,SIEM,ASSET-00719,DEV-00004,,MEDIUM,process_create observed on workstation-0718,"{""src_ip"": ""10.95.254.109""}"
EV-07500,SOC-001,2026-08-01T01:15:07.158084Z,privilege_escalation,IDS,ASSET-00827,DEV-00007,,MEDIUM,privilege_escalation observed on server-0826,"{""src_ip"": ""10.120.95.237""}"
EV-06487,SOC-001,2026-08-01T01:16:08.042925Z,email_gateway_hit,FIREWALL,ASSET-00290,DEV-00003,,INFO,email_gateway_hit observed on cloud-instance-0289,"{""src_ip"": ""10.248.170.118""}"
EV-05403,SOC-001,2026-08-01T01:18:51.774008Z,email_gateway_hit,FIREWALL,ASSET-00365,DEV-00003,,MEDIUM,email_gateway_hit observed on database-0364,"{""src_ip"": ""10.140.73.51""}"
EV-02191,SOC-001,2026-08-01T01:19:12.178641Z,auth_failure,EDR,ASSET-00944,DEV-00008,,MEDIUM,auth_failure observed on cloud-instance-0943,"{""src_ip"": ""10.227.248.244""}"
EV-04615,SOC-001,2026-08-01T01:21:52.421938Z,email_gateway_hit,IDS,ASSET-00511,DEV-00012,,INFO,email_gateway_hit observed on cloud-instance-0510,"{""src_ip"": ""10.191.122.206""}"
EV-07812,SOC-001,2026-08-01T01:23:05.091007Z,network_connection,CASE_MANAGEMENT,ASSET-00721,DEV-00001,,INFO,network_connection observed on server-0720,"{""src_ip"": ""10.86.253.219""}"
EV-03355,SOC-002,2026-08-01T01:25:46.378388Z,network_connection,CASE_MANAGEMENT,ASSET-01825,DEV-00018,,INFO,network_connection observed on workstation-0831,"{""src_ip"": ""10.91.142.41""}"
EV-08923,SOC-001,2026-08-01T01:26:17.408793Z,file_write,SIEM,ASSET-00216,DEV-00011,,HIGH,file_write observed on cloud-instance-0215,"{""src_ip"": ""10.237.147.218""}"
EV-01584,SOC-002,2026-08-01T01:26:51.084678Z,usb_insert,CASE_MANAGEMENT,ASSET-02849,DEV-00020,,MEDIUM,usb_insert observed on database-1855,"{""src_ip"": ""10.45.148.24""}"
EV-07155,SOC-001,2026-08-01T01:31:15.361459Z,auth_failure,SIEM,ASSET-00605,DEV-00011,,MEDIUM,auth_failure observed on iot-0604,"{""src_ip"": ""10.24.70.186""}"
EV-08365,SOC-001,2026-08-01T01:36:11.123831Z,email_gateway_hit,CASE_MANAGEMENT,ASSET-00063,DEV-00005,,LOW,email_gateway_hit observed on cloud-instance-0062,"{""src_ip"": ""10.83.207.31""}"
EV-01763,SOC-002,2026-08-01T01:36:30.571293Z,usb_insert,EDR,ASSET-02359,DEV-00023,,HIGH,usb_insert observed on database-1365,"{""src_ip"": ""10.14.32.108""}"
EV-05228,SOC-001,2026-08-01T01:36:57.665909Z,network_connection,SIEM,ASSET-00990,DEV-00011,,LOW,network_connection observed on cloud-instance-0989,"{""src_ip"": ""10.78.142.133""}"
