incident_id,soc_id,alert_ids,threat_ids,asset_ids,severity,status,created_at,closed_at,assigned_analyst_id
INC-00001,SOC-001,"[""AL-00114""]",[],"[""ASSET-00003""]",HIGH,CLOSED,2026-08-09T20:27:29.242896Z,2026-08-09T22:19:16.325946Z,AN-00007
INC-00002,SOC-002,"[""AL-00076"", ""AL-00079"", ""AL-00012"", ""AL-00025""]","[""THR-00018""]","[""ASSET-00194"", ""ASSET-01739"", ""ASSET-01761"", ""ASSET-02583""]",CRITICAL,CLOSED,2026-08-07T07:20:51.576085Z,2026-08-07T09:18:33.343473Z,AN-00037
INC-00003,SOC-002,"[""AL-00071"", ""AL-00049""]","[""THR-00005""]","[""ASSET-01584"", ""ASSET-02550""]",CRITICAL,CLOSED,2026-08-06T12:04:52.073550Z,2026-08-06T14:25:53.373287Z,AN-00033
INC-00004,SOC-001,"[""AL-00103""]","[""THR-00008""]","[""ASSET-00053""]",HIGH,CLOSED,2026-08-09T01:34:47.261120Z,2026-08-09T02:18:16.216305Z,AN-00007
INC-00005,SOC-002,"[""AL-00109"", ""AL-00065"", ""AL-00066""]",[],"[""ASSET-00570"", ""ASSET-00630"", ""ASSET-02101""]",CRITICAL,CLOSED,2026-08-09T09:48:27.966814Z,2026-08-09T11:35:15.770560Z,AN-00028
INC-00006,SOC-001,"[""AL-00110"", ""AL-00146""]",[],"[""ASSET-00012"", ""ASSET-02337""]",HIGH,CLOSED,2026-08-09T12:23:40.364792Z,2026-08-09T13:54:19.046083Z,AN-00013
INC-00007,SOC-002,"[""AL-00004""]",[],"[""ASSET-01036""]",HIGH,CLOSED,2026-08-01T08:05:07.798410Z,2026-08-01T09:45:46.418734Z,AN-00024
INC-00008,SOC-001,"[""AL-00042"", ""AL-00173"", ""AL-00162""]",[],"[""ASSET-00005"", ""ASSET-00334"", ""ASSET-01014""]",HIGH,CLOSED,2026-08-04T01:06:31.562669Z,2026-08-04T02:51:54.253790Z,AN-00002
INC-00009,SOC-002,"[""AL-00167""]","[""THR-00007""]","[""ASSET-02527""]",CRITICAL,CLOSED,2026-08-13T21:36:28.951792Z,2026-08-14T00:11:36.861719Z,AN-00033
INC-00010,SOC-002,"[""AL-00171"", ""AL-00108"", ""AL-00072"", ""AL-00091""]","[""THR-00017""]","[""ASSET-00709"", ""ASSET-01267"", ""ASSET-02054"", ""ASSET-02505""]",HIGH,CLOSED,2026-08-14T06:44:24.900566Z,2026-08-14T08:58:26.199468Z,AN-00021
INC-00011,SOC-002,"[""AL-00175"", ""AL-00033"", ""AL-00148"", ""AL-00145""]","[""THR-00010""]","[""ASSET-00616"", ""ASSET-01595"", ""ASSET-02683"", ""ASSET-02836""]",HIGH,CLOSED,2026-08-14T14:31:27.528196Z,2026-08-14T16:05:55.176005Z,AN-00021
INC-00012,SOC-001,"[""AL-00118"", ""AL-00020""]","[""THR-00005""]","[""ASSET-00324"", ""ASSET-00502""]",CRITICAL,CLOSED,2026-08-10T00:00:27.381176Z,2026-08-10T01:46:31.839695Z,AN-00006
INC-00013,SOC-001,"[""AL-00130""]","[""THR-00003""]","[""ASSET-00907""]",HIGH,CLOSED,2026-08-10T19:52:32.543349Z,2026-08-10T21:35:35.752982Z,AN-00008
INC-00014,SOC-001,"[""AL-00147"", ""AL-00059""]","[""THR-00018""]","[""ASSET-00621"", ""ASSET-02450""]",HIGH,CLOSED,2026-08-12T07:04:51.573286Z,2026-08-12T09:07:28.569632Z,AN-00005
INC-00015,SOC-002,"[""AL-00064"", ""AL-00032"", ""AL-00067""]",[],"[""ASSET-00170"", ""ASSET-00498"", ""ASSET-02705""]",HIGH,CLOSED,2026-08-05T21:45:05.539337Z,2026-08-05T23:25:52.899883Z,AN-00023
INC-00016,SOC-001,"[""AL-00113"", ""AL-00155""]","[""THR-00003""]","[""ASSET-00174"", ""ASSET-00884""]",HIGH,CLOSED,2026-08-09T18:20:12.592005Z,2026-08-09T20:43:49.291118Z,AN-00002
INC-00017,SOC-001,"[""AL-00062""]",[],"[""ASSET-00198""]",HIGH,CLOSED,2026-08-05T21:16:43.225471Z,2026-08-05T22:42:57.297061Z,AN-00004
INC-00018,SOC-001,"[""AL-00086""]","[""THR-00024""]","[""ASSET-00434""]",HIGH,CLOSED,2026-08-07T17:30:52.305141Z,2026-08-07T20:06:32.848883Z,AN-00012
INC-00019,SOC-002,"[""AL-00043"", ""AL-00168"", ""AL-00135""]",[],"[""ASSET-00703"", ""ASSET-01165"", ""ASSET-01542""]",CRITICAL,CLOSED,2026-08-04T05:55:43.613572Z,2026-08-04T07:36:10.251968Z,AN-00032
INC-00020,SOC-002,"[""AL-00136"", ""AL-00156"", ""AL-00123""]","[""THR-00002""]","[""ASSET-00818"", ""ASSET-01803"", ""ASSET-02847""]",HIGH,CLOSED,2026-08-11T06:24:03.150290Z,2026-08-11T07:44:58.702030Z,AN-00026
