investigation_id,incident_id,analyst_id,started_at,completed_at,status,evidence_count,notes
INV-00001,INC-00001,AN-00007,2026-08-09T21:47:33.987379Z,2026-08-09T22:45:31.676194Z,COMPLETED,5,Investigated HIGH incident
INV-00002,INC-00002,AN-00037,2026-08-07T08:40:37.185651Z,2026-08-07T09:43:21.048469Z,COMPLETED,10,Investigated CRITICAL incident
INV-00004,INC-00004,AN-00007,2026-08-09T01:54:34.595246Z,2026-08-09T02:13:27.978543Z,COMPLETED,13,Investigated HIGH incident
INV-00005,INC-00005,AN-00028,2026-08-09T11:01:58.071188Z,2026-08-09T11:59:23.778826Z,COMPLETED,9,Investigated CRITICAL incident
INV-00006,INC-00006,AN-00013,2026-08-09T12:51:24.486912Z,2026-08-09T13:12:03.120049Z,COMPLETED,13,Investigated HIGH incident
INV-00007,INC-00007,AN-00024,2026-08-01T09:09:38.558101Z,2026-08-01T09:46:29.322329Z,COMPLETED,6,Investigated HIGH incident
INV-00008,INC-00008,AN-00002,2026-08-04T02:03:17.201183Z,2026-08-04T02:43:43.160162Z,COMPLETED,8,Investigated HIGH incident
INV-00010,INC-00010,AN-00021,2026-08-14T07:32:08.616277Z,2026-08-14T08:00:47.251287Z,COMPLETED,9,Investigated HIGH incident
INV-00011,INC-00011,AN-00021,2026-08-14T15:24:22.054859Z,2026-08-14T15:57:21.511619Z,COMPLETED,11,Investigated HIGH incident
INV-00012,INC-00012,AN-00006,2026-08-10T01:10:59.362817Z,2026-08-10T02:05:32.426554Z,COMPLETED,10,Investigated CRITICAL incident
INV-00013,INC-00013,AN-00008,2026-08-10T21:08:48.921824Z,2026-08-10T21:34:50.099035Z,COMPLETED,13,Investigated HIGH incident
INV-00014,INC-00014,AN-00005,2026-08-12T08:12:55.864034Z,2026-08-12T09:06:20.032685Z,COMPLETED,12,Investigated HIGH incident
INV-00015,INC-00015,AN-00023,2026-08-05T22:48:59.602578Z,2026-08-05T23:17:33.913805Z,COMPLETED,7,Investigated HIGH incident
INV-00016,INC-00016,AN-00002,2026-08-09T20:17:42.395958Z,2026-08-09T20:54:37.854457Z,COMPLETED,9,Investigated HIGH incident
INV-00017,INC-00017,AN-00004,2026-08-05T22:04:18.446310Z,2026-08-05T22:17:56.484030Z,COMPLETED,5,Investigated HIGH incident
INV-00018,INC-00018,AN-00012,2026-08-07T19:16:34.162215Z,2026-08-07T19:52:02.501608Z,COMPLETED,2,Investigated HIGH incident
INV-00019,INC-00019,AN-00032,2026-08-04T07:18:13.156163Z,2026-08-04T08:00:42.561732Z,COMPLETED,6,Investigated CRITICAL incident
INV-00020,INC-00020,AN-00026,2026-08-11T07:08:51.874141Z,2026-08-11T07:47:00.187400Z,COMPLETED,4,Investigated HIGH incident
