threat_id,name,category,severity,mitre_techniques,first_seen,last_seen,status
THR-00001,Phishing.758,Credential Theft,HIGH,"[""T1078"", ""T1059.001""]",2026-08-07T06:13:14.362492Z,2026-08-08T02:12:11.067204Z,ACTIVE
THR-00002,Insider Threat.707,C2,LOW,"[""T1078""]",2026-08-03T08:52:11.710064Z,2026-08-06T18:06:20.660242Z,ACTIVE
THR-00003,C2.160,Insider Threat,HIGH,"[""T1190"", ""T1041""]",2026-08-12T17:35:29.951167Z,2026-08-15T00:00:00Z,ACTIVE
THR-00004,Web Attack.992,Malware,CRITICAL,"[""T1486"", ""T1003.001""]",2026-08-12T16:19:57.611545Z,2026-08-15T00:00:00Z,ACTIVE
THR-00005,C2.429,Insider Threat,HIGH,"[""T1053.005"", ""T1003.001"", ""T1059.001""]",2026-08-08T15:19:04.134448Z,2026-08-15T00:00:00Z,ACTIVE
THR-00006,Ransomware.875,Malware,CRITICAL,"[""T1003.001""]",2026-08-06T23:02:09.170330Z,2026-08-13T04:55:02.943853Z,ACTIVE
THR-00007,Phishing.139,Web Attack,HIGH,"[""T1078"", ""T1003.001""]",2026-08-03T07:50:31.859269Z,2026-08-07T09:47:37.194457Z,ACTIVE
THR-00008,Web Attack.109,Credential Theft,HIGH,"[""T1190""]",2026-08-11T11:39:42.456647Z,2026-08-15T00:00:00Z,ACTIVE
THR-00009,Credential Theft.635,Data Exfiltration,LOW,"[""T1110.001"", ""T1078"", ""T1003.001""]",2026-08-11T01:54:03.045342Z,2026-08-13T12:39:00.018741Z,ACTIVE
THR-00010,Data Exfiltration.631,Credential Theft,MEDIUM,"[""T1053.005"", ""T1486""]",2026-08-10T14:10:04.879887Z,2026-08-15T00:00:00Z,ACTIVE
THR-00011,Ransomware.268,Brute Force,MEDIUM,"[""T1053.005"", ""T1566.001"", ""T1110.001""]",2026-08-13T23:29:55.476586Z,2026-08-15T00:00:00Z,ACTIVE
THR-00012,Malware.419,C2,CRITICAL,"[""T1059.001""]",2026-08-03T02:31:02.243076Z,2026-08-07T14:31:33.085697Z,ACTIVE
THR-00013,Insider Threat.708,Ransomware,CRITICAL,"[""T1110.001""]",2026-08-05T15:13:40.093770Z,2026-08-10T22:51:36.597248Z,ACTIVE
THR-00014,Malware.297,Credential Theft,HIGH,"[""T1190"", ""T1041""]",2026-08-13T08:48:11.915594Z,2026-08-15T00:00:00Z,ACTIVE
THR-00015,Brute Force.654,C2,LOW,"[""T1021.002""]",2026-08-11T17:42:29.699937Z,2026-08-13T01:02:24.679642Z,ACTIVE
THR-00016,Credential Theft.677,Phishing,CRITICAL,"[""T1003.001""]",2026-08-11T05:30:04.011531Z,2026-08-15T00:00:00Z,ACTIVE
THR-00017,Credential Theft.926,Insider Threat,HIGH,"[""T1078""]",2026-08-11T17:23:39.332761Z,2026-08-11T18:55:32.683608Z,ACTIVE
THR-00018,Ransomware.246,Ransomware,CRITICAL,"[""T1566.001"", ""T1110.001""]",2026-08-04T05:53:42.821662Z,2026-08-04T22:22:29.735310Z,ACTIVE
THR-00019,Insider Threat.535,Insider Threat,CRITICAL,"[""T1041"", ""T1003.001""]",2026-08-14T13:52:00.966953Z,2026-08-15T00:00:00Z,ACTIVE
THR-00020,Web Attack.823,Insider Threat,HIGH,"[""T1041"", ""T1003.001""]",2026-08-04T08:53:58.890451Z,2026-08-07T00:58:37.577080Z,ACTIVE
THR-00021,C2.270,Credential Theft,MEDIUM,"[""T1078"", ""T1190"", ""T1053.005""]",2026-08-02T02:16:30.310428Z,2026-08-06T04:48:13.297124Z,ACTIVE
THR-00022,Brute Force.545,Data Exfiltration,MEDIUM,"[""T1566.001""]",2026-08-12T01:05:32.131403Z,2026-08-15T00:00:00Z,ACTIVE
THR-00023,Data Exfiltration.845,Web Attack,MEDIUM,"[""T1021.002""]",2026-08-12T23:24:18.349995Z,2026-08-15T00:00:00Z,ACTIVE
THR-00024,Web Attack.483,Ransomware,LOW,"[""T1566.001"", ""T1486"", ""T1053.005""]",2026-08-14T23:17:39.976530Z,2026-08-15T00:00:00Z,ACTIVE
THR-00025,Data Exfiltration.196,Data Exfiltration,HIGH,"[""T1003.001"", ""T1566.001""]",2026-08-03T17:28:57.258676Z,2026-08-08T19:13:50.448959Z,ACTIVE
